City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao jose do rio pardo,-21.5956,-46.8886,74.64,81,98,3.76,BR,1708989539
83,severo-yeniseyskiy,60.3725,93.0408,-21.42,100,95,4.0,RU,1708989464
84,ust-nera,64.5667,143.2,-32.57,98,75,4.18,RU,1708989437
85,ulvila,61.4284,21.871,30.27,100,100,3.44,FI,1708989539
86,jamestown,42.097,-79.2353,49.46,84,95,6.46,US,1708989177
87,karymskoye,51.6167,114.35,-17.75,99,23,2.24,RU,1708989540
88,magdagachi,53.45,125.8,-17.63,100,87,2.98,RU,1708989540
89,selfoss,63.9331,-20.9971,35.04,98,100,5.97,IS,1708989540
90,chonchi,-42.6128,-73.8092,60.12,78,94,0.76,CL,1708989435
91,uturoa,-16.7333,-151.4333,84.25,74,44,8.97,PF,1708989478
92,aasiaat,68.7098,-52.8699,-7.6,94,100,9.04,GL,1708989465
93,banda aceh,5.5577,95.3222,79.77,81,56,10.07,ID,1708989478
94,yellowknife,62.456,-114.3525,-9.58,71,75,14.97,CA,1708989359
95,iskateley,67.6803,53.1512,30.02,94,100,17.0,RU,1708989456
96,eureka,40.8021,-124.1637,52.41,74,100,8.99,US,1708989281
97,paita,-5.0892,-81.1144,79.77,73,33,10.4,PE,1708989541
98,hamilton,39.1834,-84.5333,71.55,35,0,9.22,US,1708989347
99,haapsalu,58.9431,23.5414,34.92,99,100,3.87,EE,1708989541
100,kemise,10.7167,39.8667,70.41,46,66,1.66,ET,1708989553
101,ilheus,-14.7889,-39.0494,82.22,83,20,4.61,BR,1708989553
102,general pico,-35.6566,-63.7568,72.14,84,99,4.52,AR,1708989553
103,klyuchi,52.2667,79.1667,6.58,99,91,1.19,RU,1708989437
104,mahibadhoo,3.7833,72.9667,82.2,81,100,11.9,MV,1708989466
105,tiksi,71.6872,128.8694,-2.72,87,100,27.2,RU,1708989429
106,altai,46.3722,96.2583,-9.35,70,38,1.32,MN,1708989563
107,labrador city,52.9463,-66.9114,20.17,95,100,5.75,CA,1708989523
108,punta del este,-34.9667,-54.95,68.11,92,100,8.99,UY,1708989564
109,ishigaki,24.3448,124.1572,62.73,88,75,6.91,JP,1708989564
110,matias barbosa,-21.8692,-43.3194,71.87,96,88,0.87,BR,1708989568
111,hami,42.8,93.45,23.0,51,1,7.49,CN,1708989464
112,dapa,9.7594,126.0531,80.31,69,99,13.67,PH,1708989569
113,udaipura,23.0833,78.5,67.73,43,39,7.99,IN,1708989569
114,tolanaro,-25.0319,46.9987,76.08,94,3,11.1,MG,1708989447
115,grand falls-windsor,48.9332,-55.6649,16.74,92,94,3.36,CA,1708989570
116,murghob,38.1702,73.9667,-3.15,96,83,3.65,TJ,1708989570
117,codrington,-38.2667,141.9667,64.02,54,0,9.35,AU,1708989454
118,walvis bay,-22.9575,14.5053,61.09,94,7,2.8,NA,1708989366
119,dongola,19.1667,30.4833,69.06,15,28,9.75,SD,1708989570
120,boa vista,2.8197,-60.6733,89.58,43,0,5.75,BR,1708989570
121,vadso,70.0744,29.7487,30.36,86,20,16.11,NO,1708989445
122,sola,-13.8833,167.55,88.47,74,75,0.0,VU,1708989571
123,sinabang,2.4803,96.3801,81.07,79,72,0.43,ID,1708989468
124,lubango,-14.9172,13.4925,63.93,90,100,4.63,AO,1708989571
125,karratha,-20.7377,116.8463,84.88,57,100,12.26,AU,1708989571
126,cooma,-36.2333,149.1333,64.83,58,81,7.81,AU,1708989571
127,port alfred,-33.5906,26.891,65.46,51,97,5.01,ZA,1708989425
128,una,20.8167,71.0333,74.05,33,3,6.35,IN,1708989572
129,zhezqazghan,47.7833,67.7667,12.78,79,100,11.18,KZ,1708989572
130,kidal,18.4411,1.4078,78.8,12,39,3.0,ML,1708989572
131,kavaratti,10.5669,72.642,81.91,70,68,6.58,IN,1708989526
132,ouro sogui,15.6,-13.3167,84.06,8,23,9.35,SN,1708989572
133,baiti,13.745,-14.7482,87.1,9,28,8.14,SN,1708989573
134,ugoofaaru,5.6667,73.0,82.62,81,100,14.63,MV,1708989573
135,ciudad lazaro cardenas,17.9583,-102.2,80.67,69,5,10.29,MX,1708989573
136,bodden town,19.2833,-81.25,78.8,65,40,11.5,KY,1708989573
137,longyearbyen,78.2186,15.6401,6.64,78,40,9.22,SJ,1708989423
138,khanty-mansiysk,61.0042,69.0019,30.31,93,20,4.47,RU,1708989573
139,dhidhdhoo,6.8833,73.1,82.65,76,82,11.95,MV,1708989574
140,baihe,22.15,107.2333,46.69,88,100,4.47,CN,1708989574
141,khash,28.2211,61.2158,40.35,90,67,4.61,IR,1708989574
142,plastun,44.7561,136.2939,17.96,64,2,6.6,RU,1708989574
143,st. john's,47.5649,-52.7093,27.16,94,100,6.91,CA,1708989461
144,puerto ayora,-0.7393,-90.3518,82.54,85,62,11.99,EC,1708989421
145,cooper's town,26.8667,-77.5167,68.68,51,0,5.7,BS,1708989574
146,juan griego,11.0817,-63.9655,82.53,69,51,16.11,VE,1708989575
147,lupane,-18.9315,27.807,73.56,70,87,12.21,ZW,1708989575
148,olinda,-8.0089,-34.8553,83.93,74,40,13.8,BR,1708989575
149,badger,64.8,-147.5333,16.05,45,20,9.22,US,1708989428
150,aranda de duero,41.6704,-3.6892,36.16,89,99,23.94,ES,1708989575
151,harrisburg,40.2737,-76.8844,54.3,56,75,3.44,US,1708989575
152,talnakh,69.4865,88.3972,11.21,96,100,17.07,RU,1708989465
153,khrenovoye,51.12,40.2889,22.08,76,100,10.2,RU,1708989575
154,kayangel,8.0823,134.7173,80.46,85,100,23.51,PW,1708989423
155,flin flon,54.7682,-101.865,-0.56,42,40,12.66,CA,1708989576
156,las palmas,28.4204,-14.0131,63.39,72,20,21.85,ES,1708989576
157,uliastay,47.7417,96.8444,-16.58,77,29,6.98,MN,1708989576
158,troitsk,54.0979,61.5773,7.02,87,43,5.01,RU,1708989576
159,whitehorse,60.7161,-135.0538,10.02,52,84,10.0,CA,1708989246
160,enoch,37.7733,-113.0244,55.65,32,0,21.85,US,1708989576
161,nieves,15.3274,120.9485,74.71,78,8,2.71,PH,1708989577
162,wenchang,30.904,118.4887,33.17,85,52,3.94,CN,1708989577
163,haiku-pauwela,20.9219,-156.3051,77.02,66,20,16.11,US,1708989444
164,nar'yan-mar,67.6713,53.087,30.11,94,100,17.0,RU,1708989577
165,siwa oasis,29.2041,25.5195,56.73,49,1,9.48,EG,1708989484
166,chui,-33.6971,-53.4616,68.7,95,100,17.98,UY,1708989577
167,coquimbo,-29.9533,-71.3436,67.73,77,40,10.36,CL,1708989135
168,maralal,1.0968,36.698,63.95,72,95,3.04,KE,1708989578
169,cacoal,-11.4386,-61.4472,73.63,98,90,3.04,BR,1708989578
170,tubarjal,30.4999,38.216,55.44,47,64,9.19,SA,1708989578
171,fort bragg,35.139,-79.006,67.84,34,75,9.22,US,1708989227
172,guasave,25.5667,-108.45,88.18,16,87,10.67,MX,1708989578
173,enewetak,11.3474,162.3373,80.49,78,51,10.07,MH,1708989461
174,marka,1.7159,44.7717,80.1,77,100,15.14,SO,1708989578
175,roma,43.2128,-75.4557,44.74,62,0,4.61,US,1708989579
176,trogir,43.5125,16.2517,58.78,93,0,4.61,HR,1708989579
177,san luis de la loma,17.2706,-100.8939,81.93,64,66,9.66,MX,1708989489
178,la passe,45.5549,-0.8967,43.03,91,100,24.49,FR,1708989472
179,fale old settlement,-9.3852,-171.2468,83.21,78,100,17.76,TK,1708989479
180,udachny,66.4167,112.4,-24.16,89,54,7.25,RU,1708989436
181,alexandria,31.2156,29.9553,55.94,65,65,10.78,EG,1708989329
182,luganville,-15.5333,167.1667,84.36,76,98,2.28,VU,1708989364
183,vilyuysk,63.7553,121.6247,-36.99,100,49,1.99,RU,1708989509
184,novaya igirma,57.1334,103.9112,-5.01,100,100,2.1,RU,1708989580
185,virginia,37.5481,-77.4467,63.18,51,75,9.22,US,1708989538
186,nova sintra,14.8667,-24.7167,67.01,76,1,20.87,CV,1708989422
187,santiago,-33.4569,-70.6483,86.34,37,0,16.11,CL,1708989386
188,sao joao da barra,-21.6403,-41.0511,78.89,83,78,4.45,BR,1708989580
189,east ballina,-28.8667,153.5833,75.79,74,31,12.33,AU,1708989580
190,colonia,50.9333,6.95,45.59,82,100,6.91,DE,1708989581
191,alsunga,56.9819,21.5594,37.04,93,100,3.98,LV,1708989581
192,ushuaia,-54.8,-68.3,60.46,67,0,2.3,AR,1708989423
193,punta arenas,-53.15,-70.9167,55.51,82,0,10.36,CL,1708989447
194,monchique,37.3177,-8.5553,47.14,66,3,17.96,PT,1708989581
195,kokopo,-4.352,152.2633,82.51,72,99,3.91,PG,1708989581
196,kargasok,59.0556,80.8572,1.96,96,100,8.01,RU,1708989581
197,kingston,17.997,-76.7936,78.21,84,75,6.91,JM,1708989494
198,nikolayevsk-on-amure,53.1406,140.73,2.37,92,81,1.66,RU,1708989496
199,port elizabeth,-33.918,25.5701,62.31,81,88,3.74,ZA,1708989426
200,tarancon,40.0085,-3.0073,38.82,75,76,23.24,ES,1708989582
201,saint-philippe,-21.3585,55.7679,78.39,87,68,15.7,RE,1708989465
202,skovorodino,53.9833,123.9167,-13.85,96,91,3.27,RU,1708989582
203,illizi,26.4833,8.4667,58.8,20,0,3.33,DZ,1708989448
204,vila franca do campo,37.7167,-25.4333,57.61,78,6,10.2,PT,1708989451
205,loum,4.7182,9.7351,77.45,88,56,1.25,CM,1708989582
206,tazacorte,28.629,-17.9293,65.37,74,75,21.99,ES,1708989582
207,nishinoomote,30.7333,131.0,54.3,69,100,25.21,JP,1708989582
208,agat village,13.3886,144.6585,81.54,72,20,12.66,GU,1708989583
209,tofol,5.3248,163.0078,85.78,79,75,2.3,FM,1708989421
210,tichigan,42.8289,-88.1976,64.49,51,0,9.22,US,1708989583
211,port blair,11.6667,92.75,75.24,94,72,1.14,IN,1708989583
212,terrace,54.5163,-128.6035,30.22,50,75,17.27,CA,1708989519
213,sake,-1.5736,29.045,62.82,96,100,1.28,CD,1708989583
214,labasa,-16.4167,179.3833,87.01,69,23,6.4,FJ,1708989583
215,sinop,41.7711,34.8709,49.26,59,100,4.29,TR,1708989584
216,salalah,17.0151,54.0924,75.29,73,0,2.3,OM,1708989460
217,mount isa,-20.7333,139.5,74.97,94,75,9.22,AU,1708989584
218,az zarqa,32.0728,36.088,53.51,62,99,0.0,JO,1708989584
219,puerto baquerizo moreno,-0.9,-89.6,80.71,75,24,13.4,EC,1708989432
220,nyandoma,61.669,40.1991,28.47,97,100,7.02,RU,1708989584
221,tidjikja,18.5564,-11.4271,75.31,10,2,1.21,MR,1708989516
222,zaozersk,69.4005,32.4476,29.82,88,100,20.02,RU,1708989499
223,homer,59.6425,-151.5483,33.69,58,100,4.61,US,1708989584
224,songyuan,45.1171,124.8568,9.66,71,100,8.16,CN,1708989585
225,kudahuvadhoo,2.6708,72.8944,82.49,80,100,13.51,MV,1708989585
226,quellon,-43.1167,-73.6167,57.96,88,99,2.39,CL,1708989585
227,baganga,7.5739,126.56,77.16,88,97,10.4,PH,1708989585
228,poshekhon'ye,58.4993,39.1353,24.22,87,99,10.92,RU,1708989585
229,yuzhno-kurilsk,44.0306,145.8556,25.38,85,100,14.23,RU,1708989585
